truesight_event_id,bhom_event_id,confidence,score,object_class,object_name,host,truesight_creation_time,bhom_creation_time,truesight_severity,bhom_severity,notification_group,matched_on
58893014,eps.1656268269.5959275055424781.f881e5f9-524c-409d-b3f6-ffe394fe3a3d,high,157,CONTROLM_Enterprise_Manager,Alert_id1046069,mpzhliam01,2026-04-23T11:43:31+00:00,2026-04-23T09:43:31.787000+00:00,CRITICAL,CRITICAL,,"object_class,object,instance,host,object_to_instance,time<=3h,severity,message_similarity>=0.9,message_time_fallback"
58893667,eps.1656268269.5960146266960484.f6bb1f63-b2d1-4a71-b045-4795611b0212,high,161,CONTROLM_Enterprise_Manager,Alert_id1046070,mpmtlrectm10,2026-04-23T11:58:03+00:00,2026-04-23T09:58:03+00:00,CRITICAL,CRITICAL,4030,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58890448,eps.1656268269.5958585463097351.1680b410-e976-4780-8d60-8b9d39fb35c3,medium,87,CONTROLM_Enterprise_Manager,Alert_id9534248,mtzhlrshld12,2026-04-23T11:02:03+00:00,2026-04-23T09:32:02.194000+00:00,CRITICAL,CRITICAL,1404,"object_class,host,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58890449,eps.1656268269.5959541937116450.ee6f353d-886f-4f5c-a079-09d520706b92,medium,87,CONTROLM_Enterprise_Manager,Alert_id9534249,mtzhlrshld12,2026-04-23T11:02:03+00:00,2026-04-23T09:47:02.644000+00:00,CRITICAL,CRITICAL,1404,"object_class,host,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58890610,eps.1656268269.5959570299165403.1310a110-e8c3-460a-8d5a-5e507f2d935d,low,63,CONTROLM_Enterprise_Manager,Alert_id9534251,mqzhlscmmf01,2026-04-23T11:04:23+00:00,2026-04-23T09:47:10.998000+00:00,CRITICAL,CRITICAL,11110,"object_class,host,time<=3h,severity"
58891821,eps.1656268269.5959541937116450.ee6f353d-886f-4f5c-a079-09d520706b92,medium,87,CONTROLM_Enterprise_Manager,Alert_id9534253,mtzhlrshld12,2026-04-23T11:17:02+00:00,2026-04-23T09:47:02.644000+00:00,CRITICAL,CRITICAL,1404,"object_class,host,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58892519,eps.1656268269.5958585463097351.1680b410-e976-4780-8d60-8b9d39fb35c3,high,161,CONTROLM_Enterprise_Manager,Alert_id9534255,mtzhlrshld12,2026-04-23T11:32:02+00:00,2026-04-23T09:32:02.194000+00:00,CRITICAL,CRITICAL,1404,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58892520,eps.1656268269.5958612552078053.8f979a7d-18a8-40b1-a7db-e15f8b6ad983,high,161,CONTROLM_Enterprise_Manager,Alert_id9534256,mtzhlrshld12,2026-04-23T11:32:02+00:00,2026-04-23T09:32:02.281000+00:00,CRITICAL,CRITICAL,1404,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58893169,eps.1656268269.5959541937116450.ee6f353d-886f-4f5c-a079-09d520706b92,high,161,CONTROLM_Enterprise_Manager,Alert_id9534258,mtzhlrshld12,2026-04-23T11:47:02+00:00,2026-04-23T09:47:02.644000+00:00,CRITICAL,CRITICAL,1404,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
58893364,eps.1656268269.5959756390286067.ac35027c-edc1-436a-b7ce-0c5faa9d890d,high,161,CONTROLM_Enterprise_Manager,Alert_id9534260,mizhlpass02,2026-04-23T11:51:06+00:00,2026-04-23T09:51:06.281000+00:00,CRITICAL,CRITICAL,1203,"object_class,object,instance,host,object_to_instance,time<=3h,notification_group,severity,message_similarity>=0.9,message_time_fallback"
